"id","Specimen","NFlag","Egg10","Ovip","OvipS","MyrmicaYN","Noperaiepittfall","NoperaiepittfallS","Horigano","HoriganoS","HGrass","HGrassS","Origanupatchdiameter","OriganupatchdiameterS","BV","BVR","BR","BF","NB","scabrinodis","scabrinodisS","sabuleti","sabuletiS","schencki","schenckiS","sulcinodis","sulcinodisS","rugulosa","rugulosaS"
1,1,4,0,0,-0.82,0,0,-0.54,50,0.11,10,-0.56,50,-0.49,0,0,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
2,6,4,0,0,-0.82,0,0,-0.54,50,0.11,10,-0.56,50,-0.49,0,0,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
3,4,20,0,0,-0.82,0,0,-0.54,30,-1.1,10,-0.56,3,-1.39,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
4,5,24,0,0,-0.82,0,0,-0.54,60,0.71,40,3.52,60,-0.3,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
5,5,27,0,0,-0.82,0,0,-0.54,70,1.31,15,0.12,190,2.18,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
6,6,30,0,0,-0.82,0,0,-0.54,37.5,-0.65,15,0.12,50,-0.49,0,0,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
7,8,52,0,0,-0.82,0,0,-0.54,50,0.11,10,-0.56,120,0.85,1,0,0,0,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
8,8,53,0,0,-0.82,0,0,-0.54,45,-0.2,15,0.12,90,0.27,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
9,8,54,0,0,-0.82,0,0,-0.54,25,-1.4,15,0.12,15,-1.16,1,0,0,0,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
10,8,60,0,0,-0.82,0,0,-0.54,55,0.41,5,-1.23,25,-0.97,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
11,8,64,0,0,-0.82,0,0,-0.54,110,3.71,20,0.8,100,0.47,1,0,0,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
12,10,75,0,0,-0.82,0,0,-0.54,100,3.11,25,1.48,110,0.66,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
13,10,91,0,0,-0.82,0,0,-0.54,57.5,0.56,20,0.8,70,-0.11,1,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
14,10,91,0,0,-0.82,0,0,-0.54,57.5,0.56,20,0.8,70,-0.11,1,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
15,12,91,0,0,-0.82,0,0,-0.54,57.5,0.56,20,0.8,70,-0.11,1,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
16,10,93,0,0,-0.82,0,0,-0.54,55,0.41,15,0.12,150,1.42,1,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
17,12,98,0,0,-0.82,0,0,-0.54,50,0.11,12,-0.28,90,0.27,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
18,12,102,0,0,-0.82,0,0,-0.54,40,-0.5,5,-1.23,70,-0.11,1,0,0,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
19,12,104,0,0,-0.82,0,0,-0.54,30,-1.1,20,0.8,40,-0.68,1,0,0,0,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
20,12,105,0,0,-0.82,0,0,-0.54,40,-0.5,15,0.12,45,-0.58,1,0,0,0,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
21,12,106,0,0,-0.82,0,0,-0.54,55,0.41,18,0.53,40,-0.68,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
22,12,108,0,0,-0.82,0,0,-0.54,90,2.51,20,0.8,55,-0.39,1,0,0,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
23,12,112,0,0,-0.82,0,0,-0.54,50,0.11,5,-1.23,65,-0.2,1,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
24,12,114,0,0,-0.82,0,0,-0.54,60,0.71,10,-0.56,80,0.08,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
25,13,129,0,0,-0.82,0,0,-0.54,27.5,-1.25,8,-0.83,50,-0.49,1,1,0,0,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
26,14,135,0,0,-0.82,0,0,-0.54,30,-1.1,5,-1.23,50,-0.49,1,1,1,1,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
27,14,136,0,0,-0.82,0,0,-0.54,40,-0.5,10,-0.56,100,0.47,1,1,1,1,1,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
28,14,137,0,0,-0.82,0,0,-0.54,45,-0.2,10,-0.56,100,0.47,0,1,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
